ID,Block Number,Restriction,Time Limit,Street,Payment Time,Total Space,Hourly Rate,Mobile Payment Number,Pay Type,Business Zone,Center Point,Line
901,PBP-166,NONE,2 HOUR,Pacific Ave,0800 - 1730,6,1.75,204356,PaybyPhone Only,Downtown,POINT (-97.1398478706272 49.902095433007),"MULTILINESTRING ((-97.1396625991865 49.9020378105494, -97.1397171484265 49.9020535060403, -97.1400320845255 49.9021545161709))"
302,4260,"AM, PM",2 HOUR,St Mary Ave,0900 - 1530,8,2.75,204417,"Paystation, PaybyPhone",Downtown,POINT (-97.1462555019108 49.8895792076873),"MULTILINESTRING ((-97.1459929014861 49.8896388816293, -97.1464102960359 49.889544031557, -97.1465181005352 49.8895195334112))"
228,PBP-207,NONE,2 HOUR,Young St,0800 - 1730,13,1.75,204808,"Paystation, PaybyPhone",West End,POINT (-97.1551082385136 49.8915126244797),"MULTILINESTRING ((-97.1551372233697 49.8911060061929, -97.1550792531413 49.8919192431488))"
544,4503,NONE,2 HOUR,Rupert Ave,0800 - 1730,1,1.75,204392,"Paystation, PaybyPhone",Downtown,POINT (-97.1390968459425 49.9013952369021),"MULTILINESTRING ((-97.1390656349804 49.9013852775053, -97.1391280435766 49.9014051920334))"
648,PBP-107,"AM, PM",2 HOUR,Main St,0900 - 1530,2,1.75,204337,Paybyphone Only,Downtown,POINT (-97.1343254086963 49.8882803566574),"MULTILINESTRING ((-97.1343024160397 49.8882379210388, -97.1343484019957 49.8883227933832))"
1110,PBP-209,NONE,2 HOUR,Carlton St,0800 - 1730,13,1.75,204791,"Paystation, PaybyPhone",West End,POINT (-97.1471183489556 49.8950748971451),"MULTILINESTRING ((-97.146968972371 49.8947993928211, -97.1472677273896 49.8953504015422))"
1023,3393,NONE,2 HOUR,Donald St,0800 - 1730,3,1.75,204261,"Paystation, PaybyPhone",Downtown,POINT (-97.1441562798495 49.8957482033551),"MULTILINESTRING ((-97.1442099780601 49.8956802091602, -97.1441025813835 49.895816197657))"
823,PBP-103,NONE,2 HOUR,Alexander Ave,0800 - 1730,7,1.75,204203,PaybyPhone Only,Downtown,POINT (-97.1383176099353 49.9021360431393),"MULTILINESTRING ((-97.1381409111135 49.9020793557941, -97.138494307421 49.9021927296541))"
267,4227,NONE,2 HOUR,Kennedy St,0800 - 1730,3,2.75,204310,"Paystation, PaybyPhone",Downtown,POINT (-97.1458277206566 49.8869370859657),"MULTILINESTRING ((-97.1457931671337 49.8868734465708, -97.1458622746149 49.8870007259842))"
1159,PBP-062,NONE,2 HOUR,Rorie St,0800 - 1730,1,2.75,204561,PaybyPhone Only,Exchange,POINT (-97.137141373781 49.8967650716297),"MULTILINESTRING ((-97.1371512715716 49.8967435278967, -97.1371314690528 49.8967866304435))"
392,PBP-143,PM,2 HOUR,York Ave,0800 - 1530,5,1.75,204441,PaybyPhone Only,Downtown,POINT (-97.1419876459968 49.8889036992679),"MULTILINESTRING ((-97.1417782298763 49.8889511309701, -97.1421970619797 49.8888562671266))"
797,PBP-089,NONE,2 HOUR,Ellen St,0800 - 1730,4,1.75,204691,PaybyPhone Only,No Biz Zone,POINT (-97.1437141103238 49.9044899572093),"MULTILINESTRING ((-97.1438025839496 49.9043752636557, -97.1436256368863 49.9046046499062))"
2940,3101,NONE,2 HOUR,James Ave,,1,2.75,204304,"Paystation, PaybyPhone",Downtown,POINT (-97.1394378766832 49.9006271392871),"MULTILINESTRING ((-97.139406683275 49.9006171760179, -97.139469079667 49.9006371056022))"
149,3417,NONE,4 HOUR,Furby St,0800 - 1730,3,2.75,204607,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.1556569746053 49.90221518504),"MULTILINESTRING ((-97.1557190310395 49.9021346887722, -97.1555949189412 49.9022956800071))"
556,7199,NONE,2 HOUR,Market Ave,0800 - 1730,1,2.75,204535,"Paystation, PaybyPhone",Exchange,POINT (-97.1372353385118 49.8988977782465),"MULTILINESTRING ((-97.1371903596695 49.898883404586, -97.1372803083905 49.8989121490167))"
555,7199,NONE,2 HOUR,Market Ave,0800 - 1730,1,2.75,204535,"Paystation, PaybyPhone",Exchange,POINT (-97.1375420143005 49.8989942755101),"MULTILINESTRING ((-97.1375108191334 49.8989843067534, -97.1375732077507 49.8990042437056))"
2929,3111,"AM, PM",2 HOUR,Smith St,,6,2.75,204397,"Paystation, PaybyPhone",Downtown,POINT (-97.1417811238082 49.8934012659651),"MULTILINESTRING ((-97.1416935039747 49.8932400619975, -97.1418687441546 49.8935624697334))"
1058,7218,NONE,2 HOUR,Kennedy St,0800 - 1730,7,2.75,204315,"Paystation, PaybyPhone",Downtown,POINT (-97.1474809505213 49.8899716510695),"MULTILINESTRING ((-97.1473751679153 49.8897767036283, -97.1475867339913 49.8901665984321))"
723,4233,"AM, PM",4 HOUR,William Ave,0900 - 1530,14,2.75,204640,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.1536576764696 49.9036030493315),"MULTILINESTRING ((-97.1530942997935 49.9034221220035, -97.1530960837357 49.9034226949195, -97.1542210527568 49.9037839724483))"
401,PBP-165,PM,2 HOUR,York Ave,0800 - 1530,2,1.75,204442,PaybyPhone Only,Downtown,POINT (-97.1402224796998 49.889305024568),"MULTILINESTRING ((-97.1401350200258 49.8893248694241, -97.1403099379631 49.88928517995))"
1003,3131,"AM, PM",2 HOUR,Broadway,0900 - 1530,6,2.75,204229,"Paystation, PaybyPhone",Downtown,POINT (-97.1418858383483 49.8871045597184),"MULTILINESTRING ((-97.1416190064882 49.8871649888058, -97.1421526702553 49.8870441298567))"
2439,3366,NONE,2 HOUR,Lombard Ave,0800 - 1730,1,1.75,204530,"Paystation, PaybyPhone",Exchange,POINT (-97.1367960932205 49.8961662753028),"MULTILINESTRING ((-97.1367415502011 49.8961536784367, -97.1368506384186 49.89617887264))"
1696,2518,NONE,2 HOUR,Lily St,0800 - 1730,3,1.75,204518,"Paystation, PaybyPhone",Exchange,POINT (-97.1361604683341 49.899134443444),"MULTILINESTRING ((-97.136218668945 49.8990594582819, -97.1362088219892 49.8990721450335, -97.1361022753617 49.8992094185015))"
978,PBP-066,NONE,2 HOUR,Spence St,0800 - 1730,3,1.75,204807,PaybyPhone Only,West End,POINT (-97.1538194423772 49.8925273724954),"MULTILINESTRING ((-97.1538254636531 49.8924418912157, -97.1538134211153 49.8926128532727))"
2542,4547,NONE,2 HOUR,Garry St,0800 - 1730,2,1.75,204286,"Paystation, PaybyPhone",Downtown,POINT (-97.1370639270039 49.887091741655),"MULTILINESTRING ((-97.1370220497568 49.8870145528515, -97.1371058048623 49.8871689313232))"
1356,PBP-189,AM,2 HOUR,Smith St,0900 - 1730,4,1.75,204403,PaybyPhone Only,Downtown,POINT (-97.1404717411032 49.8906138510703),"MULTILINESTRING ((-97.1404256252787 49.8905290065868, -97.1405178560809 49.8906986936792))"
2119,4873,NONE,2 HOUR,Assiniboine Ave,0800 - 1730,1,1.75,204204,"Paystation, PaybyPhone",Downtown,POINT (-97.1410475918223 49.8843163977666),"MULTILINESTRING ((-97.1410113649888 49.8843302706395, -97.1410838206904 49.8843025240953))"
476,PBP-185,NONE,2 HOUR,Princess St,0800 - 1730,3,1.75,204557,PaybyPhone Only,Exchange,POINT (-97.1434267033301 49.896675170635),"MULTILINESTRING ((-97.1434842605679 49.896600894178, -97.1433691466584 49.8967494461042))"
708,PBP-184,NONE,4 HOUR,McDermot Ave,0800 - 1730,2,2.75,204622,PaybyPhone Only,Health Science Centre,POINT (-97.1662479592373 49.9053816785191),"MULTILINESTRING ((-97.166152237536 49.9053516028196, -97.1663436808681 49.9054117540802))"
416,3146,"AM, PM",2 HOUR,Donald St,0900 - 1530,5,1.75,204258,"Paystation, PaybyPhone",Downtown,POINT (-97.1412943946841 49.889418729266),"MULTILINESTRING ((-97.1412368234952 49.8893126579323, -97.141351965637 49.8895247996703))"
1147,3208,NONE,4 HOUR,Bannatyne Ave,0800 - 1730,1,2.75,204600,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.1610711425068 49.9047530292985),"MULTILINESTRING ((-97.1610399734572 49.9047430218945, -97.1611023101636 49.9047630362428))"
2678,4186,"AM, PM",2 HOUR,St Mary Ave,0900 - 1530,4,1.75,204406,"Paystation, PaybyPhone",Downtown,POINT (-97.1427598820912 49.8903766139602),"MULTILINESTRING ((-97.142562534519 49.8904214528152, -97.1429572294529 49.8903317747347))"
351,3109,"AM, PM",2 HOUR,Donald St,0900 - 1530,7,2.75,204253,"Paystation, PaybyPhone",Downtown,POINT (-97.1438601948282 49.8945197104341),"MULTILINESTRING ((-97.1437703786336 49.894354239366, -97.1439500119822 49.8946851820654))"
598,PBP-127,"AM, PM",2 HOUR,St Mary Ave,0900 - 1530,4,1.75,204412,PaybyPhone Only,Downtown,POINT (-97.1375467950766 49.8915561485591),"MULTILINESTRING ((-97.1374154866243 49.8915859786977, -97.1376781038662 49.8915263181587))"
366,4162,NONE,2 HOUR,Carlton St,0800 - 1730,4,2.75,204239,"Paystation, PaybyPhone",Downtown,POINT (-97.1456485916397 49.8924020032784),"MULTILINESTRING ((-97.1456025736138 49.8923171363743, -97.1456946091669 49.8924868689462))"
43,7209,NONE,2 HOUR,Fort St,0800 - 1730,2,1.75,204280,"Paystation, PaybyPhone",Downtown,POINT (-97.1381204631082 49.8920728743567),"MULTILINESTRING ((-97.138097501443 49.8920304313679, -97.1381434254764 49.8921153185659))"
2914,PBP-088,NONE,2 HOUR,Stanley St,0800 - 1730,1,1.75,204709,PayByPhone Only,No Biz Zone,POINT (-97.1394526653307 49.9040978230044),"MULTILINESTRING ((-97.1394774072066 49.9040656008042, -97.1394279208978 49.9041300484864))"
1556,4851,"AM, PM",2 HOUR,York Ave,0900 - 1530,2,2.75,204448,"Paystation, PaybyPhone",Downtown,POINT (-97.1482272948877 49.8879041303428),"MULTILINESTRING ((-97.148132325812 49.8879256639449, -97.1483222658553 49.887882596215))"
2799,4227,NONE,2 HOUR,Kennedy St,0800 - 1730,1,2.75,204310,"Paystation, PaybyPhone",Downtown,POINT (-97.1461374455107 49.8875069242562),"MULTILINESTRING ((-97.1461185791013 49.8874721776759, -97.1461563100735 49.8875416673826))"
619,4188,NONE,2 HOUR,Garry St,0800 - 1730,5,1.75,204283,"Paystation, PaybyPhone",Downtown,POINT (-97.1380863307905 49.888937685363),"MULTILINESTRING ((-97.1380029119873 49.8887839346445, -97.1381697499546 49.8890914357072))"
6,PBP-085,PM,2 HOUR,York Ave,0800 - 1530,2,1.75,204458,PaybyPhone Only,Downtown,POINT (-97.1366982860055 49.8901035104951),"MULTILINESTRING ((-97.1366326114196 49.890118384675, -97.136763960594 49.8900886362683))"
287,4174,NONE,2 HOUR,Kennedy St,0800 - 1730,4,2.75,204308,"Paystation, PaybyPhone",Downtown,POINT (-97.1481371053867 49.8915627235526),"MULTILINESTRING ((-97.1480910761539 49.8914779227213, -97.148183133848 49.8916475226463))"
688,PBP-097,NONE,2 HOUR,Princess St,0800 - 1730,7,1.75,204388,PaybyPhone Only,Downtown,POINT (-97.1389598409613 49.9026961132723),"MULTILINESTRING ((-97.1390720063444 49.9025496842597, -97.1389782150002 49.9026721250002, -97.1388539655816 49.9028343386156, -97.1388476801611 49.9028425444591))"
439,4225,"AM, PM",2 HOUR,Bannatyne Ave,0900 - 1530,4,1.75,204503,"Paystation, PaybyPhone",Exchange,POINT (-97.1417818771522 49.8984369538453),"MULTILINESTRING ((-97.1416104923278 49.8983815194072, -97.1417724286169 49.8984335627373, -97.1419494349606 49.8984970906441))"
743,PBP-068,NONE,2 HOUR,Stanley St,0800 - 1730,1,1.75,204710,PaybyPhone Only,No Biz Zone,POINT (-97.1396804118319 49.9040829475791),"MULTILINESTRING ((-97.1397067014241 49.9040487094601, -97.1396541225576 49.9041171852297))"
643,3100,"AM, PM",4 HOUR,Sherbrook St,0900 - 1530,4,2.75,204628,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.1560743326013 49.9037651412652),"MULTILINESTRING ((-97.1561612646437 49.9036524805922, -97.1560012123643 49.9038599018977, -97.1559873976738 49.9038778050841))"
34,4236,NONE,2 HOUR,Fort St,0800 - 1730,5,2.75,204281,"Paystation, PaybyPhone",Downtown,POINT (-97.1394020636928 49.8940680000174),"MULTILINESTRING ((-97.1393446552091 49.8939618908445, -97.1394594720143 49.8941741083954))"
8,PBP-057,NONE,2 HOUR,Navy Way,0800 - 1730,6,1.75,204350,PaybyPhone Only,Downtown,POINT (-97.1378792494041 49.8858520458609),"MULTILINESTRING ((-97.1377870761307 49.88568618529, -97.1379714233572 49.8860179064419))"
1104,4535,NONE,2 HOUR,Hargrave St,0800 - 1730,2,2.75,204295,"Paystation, PaybyPhone",Downtown,POINT (-97.1455318850151 49.8945125590836),"MULTILINESTRING ((-97.1455088493016 49.8944701324888, -97.1455549214074 49.8945549868493))"
244,3140,"AM, PM",2 HOUR,Broadway,0900 - 1530,18,1.75,204231,"Paystation, PaybyPhone",Downtown,POINT (-97.146441034942 49.8860756341191),"MULTILINESTRING ((-97.1456474666805 49.8862554178174, -97.1472345973013 49.885895845003))"
574,4547,NONE,2 HOUR,Garry St,0800 - 1730,1,1.75,204286,"Paystation, PaybyPhone",Downtown,POINT (-97.1371167060272 49.8871944611601),"MULTILINESTRING ((-97.1371051952899 49.8871732445042, -97.1371282150039 49.8872156745511))"
54,PBP-164,"AM, PM",2 HOUR,Main St,0900 - 1530,8,1.75,204339,PaybyPhone Only,Downtown,POINT (-97.1365846473648 49.8924189213762),"MULTILINESTRING ((-97.1364799907236 49.892228186457, -97.1365066181397 49.8922765341527, -97.1366891883605 49.8926096857077))"
1803,7233,"AM, PM",2 HOUR,Bannatyne Ave,0900 - 1530,2,2.75,204504,"Paystation, PaybyPhone",Exchange,POINT (-97.1383722100051 49.8978890686146),"MULTILINESTRING ((-97.1382777562945 49.8978871413322, -97.138318339476 49.8978879694219, -97.1384666614018 49.8978909957729))"
153,4945,NONE,4 HOUR,Furby St,0800 - 1730,3,2.75,204609,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.1550282521938 49.9030294849631),"MULTILINESTRING ((-97.1551030332204 49.9029324758391, -97.1549534691535 49.9031264962612))"
749,PBP-170,NONE,4 HOUR,McDermot Ave,0800 - 1730,12,2.75,204615,PaybyPhone Only,Health Science Centre,POINT (-97.1538531839936 49.901427793699),"MULTILINESTRING ((-97.1533470956453 49.9012656645362, -97.1538497173634 49.9014266831493, -97.1543592761009 49.9015899207888))"
363,3456,NONE,2 HOUR,Carlton St,0800 - 1730,1,2.75,204237,"Paystation, PaybyPhone",Downtown,POINT (-97.1446760639588 49.8906005271933),"MULTILINESTRING ((-97.1446530744317 49.890558103507, -97.1446990542733 49.8906429522533))"
1741,3401,NONE,2 HOUR,McDermot Ave,0800 - 1730,3,2.75,204541,"Paystation, PaybyPhone",Exchange,POINT (-97.1373553779405 49.8971155697142),"MULTILINESTRING ((-97.1371837593152 49.8970781268774, -97.1375269978782 49.897153012526))"
2931,3217,PM,2 HOUR,Donald St,,3,1.75,204260,"Paystation, PayByPhone",Downtown,POINT (-97.1411358714583 49.889509948797),"MULTILINESTRING ((-97.1410852100406 49.8894166078476, -97.1411865346913 49.8896032927079))"
527,3364,NONE,2 HOUR,Lombard Ave,0800 - 1730,1,1.75,204528,"Paystation, PaybyPhone",Exchange,POINT (-97.1342484368305 49.8955779803849),"MULTILINESTRING ((-97.1342156654452 49.8955704108984, -97.1342812023366 49.8955855485019))"
1014,PBP-213,NONE,2 HOUR,Princess St,0800 - 1730,2,1.75,204553,"Paystation, PaybyPhone",Exchange,POINT (-97.1421294580757 49.8983450010555),"MULTILINESTRING ((-97.1421748314572 49.8982864576814, -97.1420840857964 49.8984035428478))"
131,4912,PM,2 HOUR,McDermot Ave,0800 - 1530,3,1.75,204546,"Paystation, PaybyPhone",Exchange,POINT (-97.1433761873982 49.8980775199175),"MULTILINESTRING ((-97.1432303831043 49.8980306914809, -97.1435128186466 49.898121401969, -97.143522009352 49.8981243537432))"
772,3439,PM,2 HOUR,King St,0800 - 1530,1,2.75,204516,"Paystation, PaybyPhone",Exchange,POINT (-97.1408737202546 49.8983610983096),"MULTILINESTRING ((-97.1408998900825 49.8983274834543, -97.1408475509727 49.8983947124109))"
829,PBP-110,NONE,2 HOUR,Ellen St,0800 - 1730,5,1.75,204689,PaybyPhone Only,No Biz Zone,POINT (-97.1443836127462 49.9029104463541),"MULTILINESTRING ((-97.1444812090896 49.9027861351606, -97.1442915588599 49.9030276973028, -97.1442860164424 49.9030347567738))"
2758,PBP-112,NONE,2 HOUR,Princess St,0800 - 1730,7,1.75,204381,PaybyPhone Only,Downtown,POINT (-97.1388332988441 49.9031492791587),"MULTILINESTRING ((-97.1389451258561 49.903003285019, -97.1389069134226 49.9030531726515, -97.1387826635198 49.9032153851652, -97.1387214777585 49.9032952720212))"
1396,4273,"AM, PM",2 HOUR,York Ave,0900 - 1530,3,2.75,204446,"Paystation, PaybyPhone",Downtown,POINT (-97.1474943744908 49.8879394468356),"MULTILINESTRING ((-97.1473871675265 49.8879330633296, -97.1476015768289 49.8879458299656))"
2178,PBP-004,NONE,2 HOUR,Bannatyne Ave,0800 - 1730,1,1.75,204502,PaybyPhone Only,Exchange,POINT (-97.1422990448112 49.8987413716753),"MULTILINESTRING ((-97.1422544534095 49.8987270425575, -97.1423436279555 49.8987556981141))"
2444,4879,NONE,2 HOUR,Hargrave St,0800 - 1730,4,1.75,204296,"Paystation, PaybyPhone",Downtown,POINT (-97.1404189330054 49.8851781282764),"MULTILINESTRING ((-97.1403501430685 49.8850513855111, -97.1404877231085 49.8853048706416))"
307,4531,NONE,2 HOUR,Good St,0800 - 1730,4,1.75,204287,"Paystation, PaybyPhone",Downtown,POINT (-97.1518788590537 49.8895667498221),"MULTILINESTRING ((-97.1518919811828 49.8894182819293, -97.1518708077748 49.8896578440692, -97.1518656912708 49.8897152210198))"
